request_id,trip_time,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
0,7.68333333333,-74.0084457397,40.7060241699,-74.0133895874,40.7096443176
1,15.4166666667,-73.9622268677,40.760635376,-73.9222869873,40.8272132874
2,14.1833333333,-73.9729156494,40.7549934387,-73.9922637939,40.7252426147
3,3.71666666667,-74.0024261475,40.7501564026,-73.991065979,40.755153656
4,6.26666666667,-73.987991333,40.7541656494,-74.0014648438,40.7491188049
5,2.98333333333,-73.9761886597,40.7759094238,-73.9822998047,40.7678604126
6,3.71666666667,-74.0025863647,40.7500495911,-73.9919433594,40.7560005188
7,8.3,-73.9858932495,40.7476119995,-74.0011138916,40.7276916504
8,6.13333333333,-73.9705963135,40.7557945251,-73.9496994019,40.7845306396
9,21.9833333333,-73.979675293,40.7710914612,-73.8938674927,40.8588943481
10,5.35,-73.9882583618,40.743057251,-74.0,40.7279930115
11,6.91666666667,-73.9749679565,40.7594909668,-73.955406189,40.7684783936
12,9.78333333333,-74.0056762695,40.7403182983,-74.0171127319,40.7089996338
13,10.9833333333,-74.0056228638,40.740688324,-74.0055160522,40.7256469727
14,5.56666666667,-73.9496002197,40.7805519104,-73.9460678101,40.7732315063
15,38.1,-73.993850708,40.756778717,-73.9374084473,40.6539344788
16,2.63333333333,-73.9969406128,40.7574691772,-73.9891204834,40.763759613
17,5.43333333333,-73.9946899414,40.7257881165,-74.0019760132,40.7395858765
18,10.1666666667,-73.980758667,40.7782783508,-73.9501419067,40.7842597961
19,9.0,-73.9879074097,40.7240791321,-74.0012130737,40.7401351929
20,9.4,-74.0037536621,40.7421073914,-73.9962768555,40.7268447876
21,2.33333333333,-73.9647598267,40.7641639709,-73.9548721313,40.7775878906
22,3.46666666667,-73.9518508911,40.777923584,-73.9574890137,40.7826881409
23,6.71666666667,-73.9812698364,40.764793396,-73.9888381958,40.7481155396
24,14.3666666667,-73.9923248291,40.7212715149,-73.9748916626,40.7579841614
25,11.2833333333,-73.9607086182,40.7613601685,-73.9896316528,40.7627792358
26,4.96666666667,-73.9869155884,40.7620658875,-74.0037765503,40.7530975342
27,32.3333333333,-73.7898178101,40.6437492371,-73.9941635132,40.7461471558
28,8.66666666667,-73.9860229492,40.7598152161,-73.9821166992,40.7814064026
29,9.15,-73.9665374756,40.7648010254,-73.9495697021,40.7961196899
30,2.81666666667,-73.9913024902,40.6961631775,-73.9957580566,40.6824798584
31,7.16666666667,-73.9826889038,40.7423782349,-73.9992218018,40.7277107239
32,13.05,-73.9423217773,40.8413505554,-73.9722290039,40.7949256897
33,28.85,-73.7861557007,40.6420783997,-73.9470214844,40.8106231689
34,7.23333333333,-73.9882965088,40.7387237549,-73.9733734131,40.7487983704
35,45.0833333333,-73.9866409302,40.72996521,-73.8962097168,40.6656036377
36,12.0833333333,-73.9710998535,40.7628326416,-73.9847488403,40.7561035156
37,12.7166666667,-73.994392395,40.7561798096,-73.9920578003,40.7273101807
38,26.75,-73.9912490845,40.719291687,-73.9172363281,40.6873512268
39,27.45,-73.8628234863,40.7687988281,-73.9374313354,40.6809082031
40,8.08333333333,-73.9425201416,40.7538719177,-73.919090271,40.7748565674
41,8.56666666667,-73.9902954102,40.7145729065,-74.0011291504,40.7336730957
42,2.71666666667,-73.9493789673,40.8023605347,-73.9435043335,40.8103370667
43,36.15,-73.7766876221,40.6452178955,-73.8949508667,40.865486145
44,13.1333333333,-73.983543396,40.755821228,-73.9991531372,40.7439498901
45,3.0,-74.0072631836,40.7056922913,-73.9993438721,40.7140274048
46,3.28333333333,-73.9842681885,40.7597084045,-73.978302002,40.7666397095
47,11.8333333333,-74.0010070801,40.7419700623,-73.9732284546,40.7523918152
